PLAYER_NAME,PLAYER_ID,TEAM
John Butler Jr.,1631219,Trail Blazers
Drew Eubanks,1629234,Trail Blazers
Justise Winslow,1626159,Trail Blazers
Jusuf Nurkić,203994,Trail Blazers
Jabari Walker,1631133,Trail Blazers
Ibou Badji,1630641,Trail Blazers
Nate Williams,1631466,Trail Blazers
Malik Monk,1628370,Kings
Terence Davis,1629056,Kings
De'Aaron Fox,1628368,Kings
Chimezie Metu,1629002,Kings
Matthew Dellavedova,203521,Kings
Kevin Huerter,1628989,Kings
Domantas Sabonis,1627734,Kings
Keegan Murray,1631099,Kings
Davion Mitchell,1630558,Kings
Kessler Edwards,1630556,Kings
Richaun Holmes,1626158,Kings
Keon Ellis,1631165,Kings
Alex Len,203458,Kings
PJ Dozier,1628408,Kings
Harrison Barnes,203084,Kings
Trey Lyles,1626168,Kings
Neemias Queta,1629674,Kings
Keldon Johnson,1629640,Spurs
Devonte' Graham,1628984,Spurs
Jeremy Sochan,1631110,Spurs
Blake Wesley,1631104,Spurs
Doug McDermott,203926,Spurs
Malaki Branham,1631103,Spurs
Zach Collins,1628380,Spurs
Devin Vassell,1630170,Spurs
Khem Birch,203920,Spurs
Dominick Barlow,1631230,Spurs
Charles Bassey,1629646,Spurs
Julian Champagnie,1630577,Spurs
Keita Bates-Diop,1628966,Spurs
Tre Jones,1630200,Spurs
Romeo Langford,1629641,Spurs
Gorgui Dieng,203476,Spurs
Sandro Mamukelashvili,1630572,Spurs
Shai Gilgeous-Alexander,1628983,Thunder
Josh Giddey,1630581,Thunder
Luguentz Dort,1629652,Thunder
Jaylin Williams,1631119,Thunder
Chet Holmgren,1631096,Thunder
Jalen Williams,1631114,Thunder
Dario Šarić,203967,Thunder
Isaiah Joe,1630198,Thunder
Lindy Waters III,1630322,Thunder
Ousmane Dieng,1631172,Thunder
Jared Butler,1630215,Thunder
Aleksej Pokusevski,1630197,Thunder
Aaron Wiggins,1630598,Thunder
Tre Mann,1630544,Thunder
Olivier Sarr,1630846,Thunder
Kenrich Williams,1629026,Thunder
Jeremiah Robinson-Earl,1630526,Thunder
Will Barton,203115,Raptors
OG Anunoby,1628384,Raptors
Scottie Barnes,1630567,Raptors
Precious Achiuwa,1630173,Raptors
Ron Harper Jr.,1631199,Raptors
Joe Wieskamp,1630580,Raptors
Jakob Poeltl,1627751,Raptors
Jeff Dowtin Jr.,1630288,Raptors
Thaddeus Young,201152,Raptors
Malachi Flynn,1630201,Raptors
Fred VanVleet,1627832,Raptors
Chris Boucher,1628449,Raptors
Otto Porter Jr.,203490,Raptors
Gary Trent Jr.,1629018,Raptors
Christian Koloko,1631132,Raptors
Pascal Siakam,1627783,Raptors
Dalano Banton,1630625,Raptors
Talen Horton-Tucker,1629659,Jazz
Jordan Clarkson,203903,Jazz
Collin Sexton,1629012,Jazz
Kris Dunn,1627739,Jazz
Vernon Carey Jr.,1630176,Jazz
Damian Jones,1627745,Jazz
Simone Fontecchio,1631323,Jazz
Luka Samanic,1629677,Jazz
Udoka Azubuike,1628962,Jazz
Rudy Gay,200752,Jazz
Lauri Markkanen,1628374,Jazz
Walker Kessler,1631117,Jazz
Micah Potter,1630695,Jazz
Ochai Agbaji,1630534,Jazz
Johnny Juzang,1630548,Jazz
Kelly Olynyk,203482,Jazz
Juan Toscano-Anderson,1629308,Jazz
Jacob Gilyard,1631367,Grizzlies
Xavier Tillman,1630214,Grizzlies
Jake LaRavia,1631222,Grizzlies
Steven Adams,203500,Grizzlies
Vince Williams Jr.,1631246,Grizzlies
Kenneth Lofton Jr.,1631254,Grizzlies
Santi Aldama,1630583,Grizzlies
Ziaire Williams,1630533,Grizzlies
Luke Kennard,1628379,Grizzlies
Ja Morant,1629630,Grizzlies
Jaren Jackson Jr.,1628991,Grizzlies
Brandon Clarke,1629634,Grizzlies
Tyus Jones,1626145,Grizzlies
Desmond Bane,1630217,Grizzlies
Dillon Brooks,1628415,Grizzlies
David Roddy,1631223,Grizzlies
John Konchar,1629723,Grizzlies
Johnny Davis,1631098,Wizards
Bradley Beal,203078,Wizards
Kristaps Porziņģis,204001,Wizards
Jordan Goodwin,1630692,Wizards
Deni Avdija,1630166,Wizards
